salinity,temp,cruise,par,date,lat,lon,SiO4,NO3_NO2,PO4,Fe,PP,chl,MLD
34.57986215,28.89589972,SR1917,1.62,11/8/19 15:00,18.8,152.2,NA,NA,NA,NA,NA,NA,NA
34.58038214,24.39720625,KM1713,490.1596219,9/21/17 19:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.58063287,29.24444807,SR1917,1.62,11/8/19 12:00,18.5,151.7,NA,NA,NA,NA,NA,NA,NA
34.58093014,19.77111246,SR1917,1.693321823,11/16/19 17:00,33.3,-176.9,NA,NA,NA,NA,NA,NA,NA
34.58100351,24.59488158,KM1713,508.3021223,9/21/17 1:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.58105263,18.07526316,KM1502,0,3/26/15 8:00,30.1,-146.7,NA,NA,NA,NA,NA,NA,NA
34.58131313,18.49111111,KM1502,1323.275354,3/25/15 18:00,32,-144.4,NA,NA,NA,NA,NA,NA,85.28927097
34.5813163,29.3177953,SR1917,1.62,11/8/19 11:00,18.4,151.6,NA,NA,NA,NA,NA,NA,NA
34.5819975,21.61676667,Gradients 4,1863.14735,11/22/21 21:00,23.62924773,-132.2905576,NA,NA,NA,NA,NA,NA,39.07903446
34.58325106,19.72951403,SR1917,1.62,11/17/19 8:00,33.6,-174,NA,NA,NA,NA,NA,NA,NA
34.58362672,24.61948276,KM1713,338.5875415,9/21/17 2:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.58374766,19.74821881,SR1917,1419.763419,11/19/19 20:00,34.6,-161.7,NA,NA,NA,NA,NA,NA,NA
34.584,18.3225,KM1502,326.508,3/25/15 16:00,32.2,-144,NA,NA,NA,NA,NA,NA,85.28927097
34.5840625,21.61049458,Gradients 4,0.02645,11/22/21 12:00,24.73449583,-130.5020632,NA,NA,NA,NA,NA,NA,NA
34.58435446,24.58152178,KM1713,573.1016922,9/21/17 0:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.5844,24.42819,KM1713,813.0212236,9/21/17 22:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.58467925,21.76972642,TN271,1021.030189,10/30/11 0:00,33.4,-140.6,NA,NA,NA,NA,NA,NA,NA
34.58526381,21.24691105,SR1917,578.0504669,11/15/19 19:00,31.8,179,NA,NA,NA,NA,NA,NA,NA
34.5853134,29.10584002,SR1917,1060.573323,11/9/19 20:00,21.4,156.2,NA,NA,NA,NA,NA,NA,NA
34.5863217,24.62788585,KM1713,567.838551,9/20/17 23:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.58634494,20.19961932,SR1917,1.62,11/16/19 14:00,33.1,-177.5,NA,NA,NA,NA,NA,NA,NA
34.58660603,24.67503276,KM1713,535.2544232,9/22/17 1:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.58714678,29.13700833,SR1917,1702.292036,11/8/19 21:00,19.4,153,NA,NA,NA,NA,NA,NA,NA
34.58742017,24.67808235,KM1713,6.413202034,9/22/17 4:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.58759116,29.36287729,SR1917,1.62,11/8/19 10:00,18.3,151.4,NA,NA,NA,NA,NA,NA,NA
34.58796555,24.70091597,KM1713,340.0350402,9/22/17 2:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.58812478,24.38145221,KM1713,288.6126854,9/21/17 18:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.58864343,19.75930047,SR1917,1.62,11/17/19 7:00,33.6,-174.2,NA,NA,NA,NA,NA,NA,NA
